timestamp,machine_id,machine_name,machine_type,line,worker,camera_id,detected_persons,ppe_violation,intrusion_alert,smoke_alert,temperature_C,vibration_mm_s,pressure_bar,current_A,humidity_pct,future_anomaly_6h,risk_probability,pred_future_anomaly_6h,accident_risk_proba
2025-11-15 04:14:01.883944,M1,Machine_6,Type_C,Line_3,Worker_12,Cam_5,2,1,1,0,74.42805243488003,1.1460222393525985,5.073804637453753,12.434205021978087,32.36653322979899,1,0.7721402621744002,1,0.9925
2025-11-15 04:24:01.883944,M9,Machine_2,Type_A,Line_2,Worker_15,Cam_4,1,1,1,1,80.01635197748439,7.379042494070273,5.625121131574128,10.240917455959892,78.9005122661295,1,0.9000817598874219,1,0.9975
2025-11-15 04:34:01.883944,M9,Machine_8,Type_A,Line_1,Worker_1,Cam_3,5,1,1,0,75.74190697863047,5.91674367751935,7.150624769225162,12.919269966249953,68.86213572797777,1,0.7787095348931523,1,0.99
2025-11-15 04:44:01.883944,M8,Machine_10,Type_B,Line_2,Worker_19,Cam_3,4,1,1,0,80.67877155069526,5.656596188531438,5.384793473223166,8.756768906920605,51.21991022867494,1,0.8033938577534763,1,0.9975
2025-11-15 04:54:01.883944,M7,Machine_5,Type_B,Line_2,Worker_14,Cam_1,1,1,1,1,85.50173267492438,3.83797169628942,6.818353347779251,12.305079368348933,45.49728388307608,1,0.9275086633746218,1,1.0
2025-11-15 05:04:01.883944,M7,Machine_10,Type_C,Line_1,Worker_3,Cam_5,2,1,1,0,83.25811595935495,7.911405954034461,2.770600468418458,8.330095176477753,47.32468787687304,1,0.8162905797967748,1,0.995
2025-11-15 05:14:01.883944,M4,Machine_2,Type_A,Line_2,Worker_10,Cam_4,5,1,1,0,79.19046674954011,4.632326957256795,5.806153118409612,10.593719009442326,36.64324358693741,1,0.7959523337477006,1,0.9975
2025-11-15 05:24:01.883944,M3,Machine_8,Type_C,Line_2,Worker_16,Cam_2,3,1,1,1,81.27821426989217,3.6785839662906414,4.083190171179964,10.763427897750676,30.1215153094718,1,0.9063910713494608,1,1.0
2025-11-15 05:34:01.883944,M3,Machine_6,Type_B,Line_3,Worker_15,Cam_1,3,1,1,1,78.94797609618705,0.0,6.745764455122215,9.340945813883346,55.07146603103515,1,0.8947398804809351,1,1.0
2025-11-15 05:44:01.883944,M6,Machine_4,Type_A,Line_1,Worker_13,Cam_2,1,1,1,0,92.8580956215511,5.162593872033467,5.031753432011781,7.022581254935189,43.88852914511956,1,0.8642904781077556,1,0.995
2025-11-15 05:54:01.883944,M4,Machine_8,Type_A,Line_1,Worker_12,Cam_1,5,1,1,0,74.60553776260426,6.811215279607262,6.926887402677531,10.550457489348204,38.60287209463185,1,0.7730276888130212,1,0.9975
2025-11-15 06:04:01.883944,M1,Machine_2,Type_C,Line_3,Worker_20,Cam_2,3,1,1,0,73.65307329038866,4.690468596974537,5.084975408107821,9.285680173574526,47.244373836549805,1,0.7682653664519432,1,0.9975
